CODI_ESTACIO,NOM_ESTACIO,CODI_TIPUS,LATITUD,LONGITUD,Georeferència,EMPLACAMENT,ALTITUD,CODI_MUNICIPI,NOM_MUNICIPI,CODI_COMARCA,NOM_COMARCA,CODI_PROVINCIA,NOM_PROVINCIA,CODI_XARXA,NOM_XARXA,CODI_ESTAT,NOM_ESTAT,DATA_ALTA,DATA_BAIXA,LIMADM_MUNICIPI,LIMADM COMARCA
VY,Nulles,A,41.25095,1.29863,POINT (1.29863 41.25095),Cooperativa agrària,240,12,Nulles,1,Alt Camp,43,Tarragona,1,XEMA,2,Operativa,09/18/2000 12:00:00 AM,,375,30
YB,Olot,A,42.18813,2.47097,POINT (2.47097 42.18813),Pla de Dalt,433,443,Olot,19,Garrotxa,17,Girona,1,XEMA,2,Operativa,07/21/2016 12:00:00 AM,,294,10
X4,Barcelona - el Raval,A,41.3839,2.16775,POINT (2.16775 41.3839),"Facultat de Geografia i Història. c. Montalegre nº6, 6a",33,332,Barcelona,13,Barcelonès,8,Barcelona,1,XEMA,2,Operativa,10/11/2006 12:00:00 AM,,512,29
YG,Tírvia,A,42.51881,1.24244,POINT (1.24244 42.51881),Heliport de Tírvia,954,634,Tírvia,26,Pallars Sobirà,25,Lleida,1,XEMA,2,Operativa,01/11/2018 12:00:00 AM,,335,2
DD,Vilassar de Mar,A,41.51175,2.38674,POINT (2.38674 41.51175),"Soc.Civil d'Aigües ""La Mina Vella",44.5,513,Vilassar de Mar,21,Maresme,8,Barcelona,1,XEMA,1,Desmantellada,05/04/1998 12:00:00 AM,01/16/2015 12:00:00 AM,522,25
YD,les Borges Blanques,A,41.51135,0.85617,POINT (0.85617 41.51135),Escola Agrària de les Borges Blanques,283,416,Les Borges Blanques,18,Garrigues,25,Lleida,1,XEMA,2,Operativa,01/25/2017 12:00:00 AM,,807,27
VD,el Canós,A,41.68939,1.20381,POINT (1.20381 41.68939),Camí de la Figuerosa,429,730,Els Plans de Sió,32,Segarra,25,Lleida,1,XEMA,2,Operativa,10/22/1988 12:00:00 AM,,780,19
WX,Camarasa,A,41.9178,0.88175,POINT (0.88175 41.9178),Camarasa,668,537,Camarasa,23,Noguera,25,Lleida,1,XEMA,2,Operativa,03/07/2006 12:00:00 AM,,113,15
XV,Sant Cugat del Vallès - CAR,A,41.48311,2.07956,POINT (2.07956 41.48311),Centre d'Alt Rendiment,158,895,Sant Cugat del Vallès,40,Vallès Occidental,8,Barcelona,1,XEMA,2,Operativa,08/08/2013 12:00:00 AM,,937,26
U1,Cabanes,A,42.30648,2.95481,POINT (2.95481 42.30648),"Mas St. Feliu, S.A., camí de St. Feli, s/n",31,33,Cabanes,2,Alt Empordà,17,Girona,1,XEMA,2,Operativa,06/11/1991 12:00:00 AM,,248,6
