WKT,Name,description,timestamp,begin,end,altitudeMode,tessellate,extrude,visibility,drawOrder,icon,snippet
"POLYGON Z ((2.16788763649868 41.451348362032 0,2.16649498325808 41.451559218961 0,2.16688780290976 41.4514589611722 0,2.16658561386443 41.4513610368891 0,2.16708129621834 41.4508712107332 0,2.16705927527659 41.4502966298653 0,2.16787595155358 41.4499637739462 0,2.16905871514116 41.4500901472895 0,2.16957485309834 41.4487609181093 0,2.17126868400912 41.4487215730308 0,2.17092262382291 41.4482256676304 0,2.17221813012058 41.4487210391804 0,2.17250557336598 41.4492091548732 0,2.17205339725367 41.4493605560667 0,2.17335367778584 41.4502536262104 0,2.17225830058834 41.4509527363161 0,2.17080600681033 41.4512368604446 0,2.17093905308488 41.4507812269899 0,2.17029280008505 41.4507986652786 0,2.16953466233088 41.4511466888715 0,2.16966934191737 41.4513317698958 0,2.16887467370843 41.4514733232326 0,2.16884174245401 41.4517529320967 0,2.16855281264266 41.4513826266175 0,2.16788763649868 41.451348362032 0))","2012080307",,,,,,"-1","0","-1",,,
"POLYGON Z ((1.60627700576115 41.4177178463954 0,1.60662129470275 41.4171038801657 0,1.60612776785514 41.4171682544366 0,1.60621359786485 41.41693221993 0,1.60773708670901 41.4154945510176 0,1.60728647838274 41.4161597406199 0,1.60850956938566 41.416910756476 0,1.60827353748782 41.417468656882 0,1.60902455864639 41.4179621814497 0,1.60941080052986 41.4187990301695 0,1.60915330895472 41.4189277770977 0,1.60962538027088 41.4194642181467 0,1.6092606039905 41.4205156455638 0,1.6075225345921 41.4211593801826 0,1.60576300415719 41.4209233501201 0,1.60608486538835 41.4200435842575 0,1.60559133844282 41.4199577546769 0,1.60627700576115 41.4177178463954 0))","2012080308",,,,,,"-1","0","-1",,,
"POLYGON Z ((1.42956851569687 41.702703282055 0,1.42891131047147 41.7033883859262 0,1.42959311825163 41.7041826032243 0,1.43025373390142 41.7044251510115 0,1.43061208565801 41.7053511664225 0,1.43128089769677 41.7056132805416 0,1.4309423881662 41.7074314432195 0,1.43177325352938 41.7085066128341 0,1.43117006040952 41.7108855126905 0,1.43053937920348 41.7115450396166 0,1.4303658641577 41.7108485860391 0,1.42891666418223 41.711347727662 0,1.42835383103964 41.711353006898 0,1.42840862973158 41.7108802221674 0,1.42699454460758 41.7110035868904 0,1.42668453174312 41.7127118505032 0,1.42737442897298 41.7135321374284 0,1.42626248415065 41.7129785166989 0,1.42543890069106 41.7130256180999 0,1.42574868716974 41.714521817308 0,1.42491300219723 41.715418514767 0,1.42389984597669 41.7140099722114 0,1.42410170103063 41.7131889217215 0,1.42346187445887 41.7124471429474 0,1.42389127110077 41.7115254245978 0,1.424888076894 41.7114742218662 0,1.42625519706097 41.7107923780016 0,1.42420266641421 41.7104723516361 0,1.42485460834284 41.7089439241465 0,1.4247279115142 41.7081053948367 0,1.42550382856975 41.7075257300769 0,1.4260664693592 41.7075269492418 0,1.42630249938754 41.706012276872 0,1.42693885660651 41.7051193264108 0,1.42814387076709 41.705044997139 0,1.42887417013551 41.7034916689677 0,1.42790679852074 41.7030503148733 0,1.42812378691702 41.7026705628576 0,1.4294171770308 41.7025195870973 0,1.42956851569687 41.702703282055 0))","2012080309",,,,,,"-1","0","-1",,,
"POLYGON Z ((1.9765237043329 41.779178788201 0,1.97550905907118 41.7809350946006 0,1.97472027600625 41.780594808277 0,1.9753373203536 41.7811407219901 0,1.97424414233473 41.7817794657524 0,1.97397468725948 41.7828308634853 0,1.97239561133773 41.7835376410515 0,1.97232064704727 41.7844646769271 0,1.96797253525825 41.7869566461598 0,1.96785038166657 41.7878202067068 0,1.96736757689234 41.7871583704632 0,1.96651979036205 41.7874930112696 0,1.96686696990659 41.7868566461299 0,1.96716244246737 41.7871925549973 0,1.96775026648236 41.7865583487427 0,1.96701334427459 41.7859842971215 0,1.96687520655786 41.7863433296551 0,1.96573775049549 41.785981833318 0,1.96757993402801 41.7844221949872 0,1.96776980160297 41.7838384546548 0,1.96825281901331 41.7837347092346 0,1.96838684636226 41.7828802608814 0,1.97003918290622 41.7818953167167 0,1.96983287363382 41.7812518309171 0,1.97008942771119 41.7810109445857 0,1.97302876834584 41.7800554951144 0,1.97396896400178 41.7791992319712 0,1.97549949906586 41.7787715471242 0,1.9765237043329 41.779178788201 0))","2012080310",,,,,,"-1","0","-1",,,
"POLYGON Z ((1.5648771167817 41.7365467817375 0,1.56489214657752 41.7358714617367 0,1.5645936168305 41.7357776661852 0,1.5649071759199 41.7351961416525 0,1.56431112585294 41.7349635285883 0,1.56432616080269 41.734288208569 0,1.5628335616085 41.7338192162931 0,1.56284861143133 41.7331438965764 0,1.56195708747358 41.7326824071035 0,1.56197716516987 41.7317819809478 0,1.56108064382198 41.73154559145 0,1.56107059888183 41.7319958043651 0,1.56046956789755 41.7319882783693 0,1.56078013036822 41.7315418289037 0,1.55994371945576 41.7313061831959 0,1.5592775640791 41.7315230043443 0,1.55898711035909 41.731069024546 0,1.55747952136383 41.7312752828621 0,1.55747448639707 41.7315003890009 0,1.55657294827095 41.7314890706774 0,1.5563976794967 41.7312617001508 0,1.55627243573675 41.7314852963475 0,1.55266628926652 41.7314399430574 0,1.55267134100909 41.7312148373936 0,1.55207031952917 41.7312072675806 0,1.55208042703456 41.730757056389 0,1.55148952138855 41.7302992723968 0,1.55058800249726 41.7302879074284 0,1.55029761592224 41.7298339065799 0,1.54939610401286 41.7298225323633 0,1.54911079172603 41.7291434232874 0,1.54881029105432 41.7291396296144 0,1.5485563940047 41.7270648657883 0,1.54886600063391 41.726663470163 0,1.55246682224119 41.7269340443256 0,1.55279256550397 41.7258122990173 0,1.55669888379665 41.7258614169862 0,1.55670895709423 41.7254112044548 0,1.55400460073903 41.7253772143661 0,1.55371320156959 41.7249682429682 0,1.55401973855587 41.7247018962778 0,1.5531233458131 41.7244654464177 0,1.55312839472434 41.7242403404343 0,1.55132552555279 41.7242176317689 0,1.55126037451142 41.7244419801445 0,1.55102504753876 41.7242138442496 0,1.5495226584528 41.7241948948733 0,1.54927721395084 41.7244169667346 0,1.54681836163541 41.7241607364685 0,1.54683864474266 41.723260314989 0,1.54713911775718 41.7232641133847 0,1.54745986456847 41.7223674891264 0,1.54836633665587 41.7221537713403 0,1.54837140175995 41.7219286657398 0,1.55077008265261 41.7221841039511 0,1.55048478731795 41.7215049976737 0,1.54958845249542 41.7212685210162 0,1.54960363436633 41.7205932037618 0,1.54930317346602 41.7205894120068 0,1.54962893633158 41.7194676748325 0,1.55203763540919 41.7192728733835 0,1.55205784212404 41.718372449054 0,1.55297434010346 41.7177084812654 0,1.55387063903495 41.7179449310577 0,1.55388072927351 41.7174947184656 0,1.55656964784892 41.7182040259712 0,1.5568902371691 41.7173073721811 0,1.55809202393271 41.7173224541778 0,1.5581071146833 41.7166471339232 0,1.55750622744321 41.7166395946726 0,1.5575142789741 41.7162794238974 0,1.55811214481927 41.7164220271379 0,1.55812220491835 41.7159718135844 0,1.55752132396545 41.7159642744666 0,1.55723094973039 41.7155102903393 0,1.5563296352484 41.7154989736192 0,1.55633467138283 41.71527386701 0,1.55512788338734 41.7154838737261 0,1.55484256955832 41.7148047772901 0,1.5542417003437 41.7147972211948 0,1.55365596742 41.7141143427766 0,1.55305510494946 41.7141067806234 0,1.55306519952118 41.7136565678467 0,1.55246939082557 41.7134238963297 0,1.55222451290047 41.7109439426676 0,1.55163378377083 41.7104861607547 0,1.55164388697715 41.7100359479763 0,1.55103800941117 41.7102534822374 0,1.55102790190131 41.7107036948332 0,1.5504169599597 41.7111463319247 0,1.54951570915181 41.7111349627248 0,1.54952076828812 41.7109098565767 0,1.54802881852952 41.7104406804065 0,1.54804401095641 41.7097653623421 0,1.54895030299275 41.7095516366374 0,1.54896042459051 41.7091014243201 0,1.55046246183208 41.7091203755411 0,1.55078814104421 41.7079986316162 0,1.55259055658488 41.708021341565 0,1.55290609965374 41.7073498039997 0,1.55560969914598 41.7073838080485 0,1.55561473635893 41.7071587011469 0,1.55621553474878 41.7071662489429 0,1.55682639924522 41.7067235794854 0,1.55683646489123 41.7062733654246 0,1.55803804612332 41.706288444799 0,1.55864888996547 41.7058457652557 0,1.55865894258748 41.7053955507645 0,1.55895933391979 41.7053993169457 0,1.55897440928277 41.7047239950276 0,1.55837363289891 41.7047164620122 0,1.5584088214021 41.7031407109424 0,1.55781308869912 41.7029080679604 0,1.55753282784489 41.7020038698879 0,1.55513486429534 41.7017485835067 0,1.55544531184279 41.7013021444122 0,1.55274196730132 41.7012681405154 0,1.55305747378704 41.7005966012172 0,1.56027636836383 41.7002369008399 0,1.56028138803912 41.700011793195 0,1.56148786989502 41.6998017269484 0,1.56149790058531 41.6993515113754 0,1.56210364108506 41.6991339194162 0,1.56213371888069 41.6977832721076 0,1.56544764496588 41.6973743345107 0,1.5654526461044 41.6971492262427 0,1.56695441617575 41.6971679575584 0,1.56700949127833 41.697393814849 0,1.57115937986411 41.6972203008859 0,1.5717501314744 41.6976779836458 0,1.57535938801307 41.6974975996032 0,1.57624556790859 41.6981840910398 0,1.57651615138803 41.6995384664007 0,1.57710696252308 41.6999961224081 0,1.57770769994999 41.7000035568101 0,1.57770274105029 41.7002286661239 0,1.57710200152864 41.7002212317084 0,1.57709207937031 41.7006714502812 0,1.57798823693558 41.7009077102619 0,1.57797832072086 41.701357928909 0,1.57827770445642 41.7014066661921 0,1.57796840427931 41.7018081475638 0,1.5794653378652 41.7020518264249 0,1.58030707010212 41.7047642724796 0,1.58150863555239 41.7047791060164 0,1.58117855812051 41.7061260556687 0,1.58207975146541 41.7061371754248 0,1.58205997225858 41.7070376135016 0,1.58236037436177 41.7070413186337 0,1.58264594774768 41.7077203516483 0,1.58234554250647 41.7077166472145 0,1.58232082162363 41.7088421945724 0,1.58201546574885 41.7090635986398 0,1.58141464285998 41.7090561854961 0,1.58110433432154 41.7095026963645 0,1.5805035075813 41.709495278394 0,1.58049360592773 41.7099454968573 0,1.57898657356235 41.7101520469517 0,1.57837086625867 41.710819944822 0,1.5774696089641 41.7108087949223 0,1.57746464735224 41.7110339038333 0,1.57686380736281 41.7110264666132 0,1.57625303582757 41.7114692437679 0,1.57623813774506 41.7121445699928 0,1.57683898798317 41.7121520106456 0,1.57682409567586 41.712827337007 0,1.57561741439072 41.7130375608158 0,1.5757837035416 41.7191192137147 0,1.57456198118356 41.7200047492816 0,1.57424659633836 41.7206763474608 0,1.57544348461211 41.7209163572439 0,1.57543851416909 41.7211414655594 0,1.57603944800068 41.7211489116931 0,1.57663044944683 41.7216065715232 0,1.5766155500158 41.7222818966637 0,1.57569922389087 41.7229460553514 0,1.57598479251154 41.7236251030571 0,1.57507838506389 41.7238390398416 0,1.57506346821375 41.7245143642632 0,1.57595000814243 41.7252008606052 0,1.57559484407819 41.727673326553 0,1.57498887631775 41.7278909851114 0,1.5737371068354 41.7301271549607 0,1.57312612967513 41.7305699109335 0,1.57252510875292 41.7305624481547 0,1.5725101617014 41.7312377710337 0,1.5719091347142 41.7312303049814 0,1.57189916549561 41.7316805200545 0,1.57037662856669 41.7325622703302 0,1.57006113534075 41.7332338539427 0,1.57034668672624 41.7339129142656 0,1.56912960008654 41.7345732771006 0,1.56911961028805 41.7350234913649 0,1.56850855473756 41.735466221139 0,1.56790748938066 41.7354587335423 0,1.56758695513783 41.7363554163196 0,1.56697587640088 41.7367981374766 0,1.56638480861539 41.7363404280839 0,1.56548319933708 41.7363291786569 0,1.5654731834574 41.7367793920651 0,1.5648771167817 41.7365467817375 0),(1.55033708022627 41.7280780836086 0,1.55213601414145 41.7282808940532 0,1.55272690637623 41.728738674655 0,1.55240619813442 41.7296353132694 0,1.55120924145532 41.7293950626011 0,1.55122946697539 41.7284946401933 0,1.55033708022627 41.7280780836086 0))","2012080312",,,,,,"-1","0","-1",,,
"POLYGON Z ((1.55356537934388 41.744961402287 0,1.5538508042154 41.7456405003391 0,1.55415138242628 41.7456442820402 0,1.55416148051452 41.7451940715696 0,1.55356537934388 41.744961402287 0,1.55360578566392 41.7431605603856 0,1.55390635233644 41.7431643425465 0,1.5539215005725 41.742489026584 0,1.55483832976912 41.7418250518147 0,1.55485346758888 41.7411497354172 0,1.55546466990427 41.7407070810482 0,1.55548484400822 41.7398066587267 0,1.55458823709638 41.7395702174863 0,1.55460337627864 41.7388949008968 0,1.5552044701631 41.7389024586335 0,1.55521455850913 41.7384522473788 0,1.55582069035691 41.738234696152 0,1.55583077416185 41.7377844847675 0,1.55522969053616 41.7377769304708 0,1.55524482210626 41.7371016134794 0,1.55614643813202 41.7371129434553 0,1.55675759274834 41.7366702811582 0,1.5567676694578 41.7362200694197 0,1.5579849106494 41.7355598402888 0,1.55800001218139 41.7348845222162 0,1.55913699153541 41.7351239504474 0,1.56010371393442 41.7349108961891 0,1.56011376665502 41.7344606836494 0,1.55951271288493 41.7344531522881 0,1.55892172028384 41.7339954054893 0,1.55711857374125 41.7339727834317 0,1.55714879269602 41.7326221473426 0,1.55744931070507 41.7326259194647 0,1.55777499916072 41.7315041601883 0,1.55807551204179 41.7315079305909 0,1.55836596116672 41.7319619125902 0,1.55897202118725 41.7317443433618 0,1.55896196145326 41.7321945558439 0,1.55956299402225 41.732202089756 0,1.55955796616592 41.7324271960648 0,1.56076505978621 41.7322171481968 0,1.56076003612407 41.7324422546239 0,1.56015900100096 41.7324347268928 0,1.56044444405996 41.7331138102202 0,1.55984340281899 41.733106280786 0,1.55983334868813 41.7335564933786 0,1.56013387140725 41.7335602585481 0,1.56011879292844 41.7342355774106 0,1.56101534767836 41.734471974843 0,1.56127569612631 41.7362765877336 0,1.56277335723472 41.7365204943199 0,1.56278840911462 41.7358451749395 0,1.56339449174819 41.7356275828609 0,1.5636799823218 41.7363066585419 0,1.5648771167817 41.7365467817375 0,1.56546817543251 41.7370044987328 0,1.56574868649032 41.7379086762463 0,1.5654431344484 41.7381300321109 0,1.56454651196949 41.7378936683267 0,1.56454150051281 41.7381187748592 0,1.56303376168885 41.7383251035075 0,1.56301369408201 41.7392255290513 0,1.56240255683719 41.7396682247397 0,1.56238749889566 41.740343543555 0,1.56178136820605 41.7405611293933 0,1.5623724404396 41.7410188622862 0,1.56264790501988 41.7421481525244 0,1.56173114985842 41.7428121908348 0,1.56171608322178 41.7434875090353 0,1.56141551400861 41.7434837472795 0,1.56167590306472 41.7452883572647 0,1.56045348477206 41.7461737279744 0,1.56043337564565 41.747074151265 0,1.55983220415891 41.7470666197327 0,1.55982214502517 41.7475168311807 0,1.55909570240733 41.7477328947029 0,1.55681627022535 41.747479125721 0,1.55681123007848 41.7477042311572 0,1.5562100537332 41.7476966805374 0,1.55591955214755 41.7472426934118 0,1.55501779449729 41.7472313594737 0,1.55503293330786 41.7465560436602 0,1.55563409870133 41.7465636002266 0,1.55564418675685 41.7461133895338 0,1.55204227938335 41.7458428986129 0,1.55177710192739 41.7442633762768 0,1.55237824507058 41.7442709495408 0,1.55296422938491 41.7449538351316 0,1.55356537934388 41.744961402287 0),(1.5575423698342 41.7419040542355 0,1.55693721639957 41.7420765928519 0,1.55664673386126 41.7416226074539 0,1.55604561428642 41.7416150569092 0,1.55605569771729 41.7411648457007 0,1.55755848662369 41.7411837159171 0,1.5575423698342 41.7419040542355 0))","2012080312",,,,,,"-1","0","-1",,,
"POLYGON Z ((1.5492634363062 41.735720290171 0,1.54924925576394 41.7363505844975 0,1.54985032444189 41.7363581698674 0,1.54984526193804 41.7365832750032 0,1.54834258539948 41.7365643056484 0,1.54805725645869 41.7358851944311 0,1.54716073253807 41.7356486963591 0,1.54717087590535 41.7351984864501 0,1.54687034733009 41.7351946872585 0,1.54727229680394 41.7306963856175 0,1.5478733122455 41.7307039804506 0,1.54818395461737 41.7302575662347 0,1.54998699015104 41.7302803268543 0,1.54997686825788 41.7307305376673 0,1.55087333517589 41.7309670130319 0,1.55116373072701 41.7314210124386 0,1.5529617504197 41.7316688324998 0,1.55264102975271 41.7325654711468 0,1.5520298872042 41.7330081120181 0,1.5508278113224 41.7329929620116 0,1.5505171733986 41.7334393832533 0,1.54931002642904 41.733649322493 0,1.54959029639429 41.7345535361428 0,1.55078734181765 41.734793804899 0,1.55075192792282 41.736369541962 0,1.55015085889792 41.7363619613516 0,1.54986551160952 41.7356828543139 0,1.5492634363062 41.735720290171 0),(1.54810185833158 41.733904269954 0,1.54870898308877 41.7336417347399 0,1.54896391808707 41.7356714753708 0,1.5483729909632 41.7352136754069 0,1.54838312571008 41.7347634652219 0,1.54808259894107 41.734759669232 0,1.54810185833158 41.733904269954 0))","2012080312",,,,,,"-1","0","-1",,,
"POLYGON Z ((1.56258812464123 41.7340413163809 0,1.56312405454387 41.7342731868221 0,1.56309897503543 41.7353987195356 0,1.56279844335505 41.7353949619868 0,1.56281349437781 41.7347196424663 0,1.56251296590066 41.7347158842203 0,1.56258812464123 41.7340413163809 0))","2012080312",,,,,,"-1","0","-1",,,
"POLYGON Z ((1.5654731834574 41.7367793920651 0,1.56607426042769 41.7367868925866 0,1.56606925455951 41.737011999359 0,1.56546817543251 41.7370044987328 0,1.5654731834574 41.7367793920651 0))","2012080312",,,,,,"-1","0","-1",,,
"POLYGON Z ((1.56170161096509 41.7333547183149 0,1.56193700880348 41.733582833064 0,1.56163648574107 41.7335790726087 0,1.56170161096509 41.7333547183149 0))","2012080312",,,,,,"-1","0","-1",,,
